                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                0.96605,                0.79674,                 1.1986,                0.90518,                0.95991,                0.95768,                0.60521,                 1.2782,                0.57003,                 1.6192,               0.008911,               0.008911,               0.008911
                     13,                0.95248,                 0.7853,                 1.1947,                0.92598,                0.95398,                0.96218,                0.61508,                 1.2726,                0.51336,                 1.6406,               0.008812,               0.008812,               0.008812
                     14,                0.93733,                0.76688,                  1.183,                0.93744,                 0.9597,                0.96591,                0.63113,                 1.2354,                0.49997,                 1.6053,               0.008713,               0.008713,               0.008713
                     15,                 0.9331,                0.75906,                 1.1806,                0.94133,                0.96354,                0.96785,                0.63825,                 1.2037,                0.49324,                  1.587,               0.008614,               0.008614,               0.008614
                     16,                0.91476,                0.73997,                 1.1706,                0.93987,                 0.9705,                 0.9665,                0.61861,                 1.2749,                0.49578,                  1.635,               0.008515,               0.008515,               0.008515
                     17,                0.90297,                0.73669,                 1.1559,                0.94265,                0.97313,                0.96589,                0.62197,                  1.261,                0.47709,                 1.6516,               0.008416,               0.008416,               0.008416
                     18,                0.89784,                0.73704,                 1.1522,                0.92403,                 0.9697,                0.96655,                0.63807,                 1.2109,                0.52867,                 1.5896,               0.008317,               0.008317,               0.008317
                     19,                0.88647,                0.73979,                 1.1531,                0.94095,                0.96705,                0.97082,                0.64124,                   1.21,                0.51851,                 1.6131,               0.008218,               0.008218,               0.008218
                     20,                0.86723,                0.69973,                 1.1365,                0.94112,                0.97898,                0.96621,                0.62186,                 1.2396,                0.50387,                  1.632,               0.008119,               0.008119,               0.008119
                     21,                0.86501,                0.70766,                 1.1333,                0.93795,                0.97367,                0.97544,                0.63927,                 1.2147,                0.48576,                 1.5928,                0.00802,                0.00802,                0.00802
                     22,                0.85014,                0.70294,                 1.1254,                0.92553,                0.97425,                0.96378,                0.62912,                 1.2166,                0.48103,                  1.637,               0.007921,               0.007921,               0.007921
                     23,                0.84315,                0.69353,                 1.1179,                0.92229,                0.97595,                0.96733,                0.63686,                 1.2064,                0.49956,                 1.6191,               0.007822,               0.007822,               0.007822
                     24,                0.84123,                 0.6842,                 1.1217,                0.92336,                0.96905,                0.96564,                0.63394,                 1.1947,                0.47697,                 1.6314,               0.007723,               0.007723,               0.007723
                     25,                0.82059,                0.69174,                 1.1103,                 0.9329,                0.96488,                0.96769,                0.64209,                 1.1917,                 0.5043,                 1.6362,               0.007624,               0.007624,               0.007624
                     26,                 0.8202,                0.69087,                 1.1062,                0.94418,                0.97774,                0.97213,                0.65156,                 1.1875,                0.47001,                 1.6094,               0.007525,               0.007525,               0.007525
                     27,                0.81377,                0.66802,                 1.1051,                0.92322,                0.97453,                0.96054,                0.64045,                 1.1957,                0.46543,                 1.6325,               0.007426,               0.007426,               0.007426
                     28,                0.81047,                0.66543,                 1.1018,                0.94744,                0.97166,                0.96852,                 0.6454,                 1.1929,                0.48931,                 1.6336,               0.007327,               0.007327,               0.007327
                     29,                0.79595,                 0.6671,                 1.0954,                0.93645,                0.97547,                0.96546,                0.64201,                 1.1938,                 0.4905,                 1.6246,               0.007228,               0.007228,               0.007228
                     30,                0.78762,                 0.6586,                 1.0911,                0.94496,                0.97588,                0.97119,                0.64459,                 1.1943,                0.48815,                 1.6336,               0.007129,               0.007129,               0.007129
                     31,                0.77839,                0.64787,                  1.087,                0.93944,                0.97039,                  0.969,                 0.6509,                 1.1909,                0.46286,                 1.6069,                0.00703,                0.00703,                0.00703
                     32,                0.76761,                0.63858,                 1.0735,                0.94861,                0.97728,                0.97239,                0.64743,                 1.1977,                0.45816,                 1.6627,               0.006931,               0.006931,               0.006931
                     33,                0.76551,                0.64333,                 1.0707,                0.94759,                0.97809,                 0.9702,                0.64383,                 1.2078,                0.45535,                 1.6649,               0.006832,               0.006832,               0.006832
                     34,                0.75828,                0.64336,                 1.0702,                0.94326,                0.96093,                0.97092,                0.65012,                 1.1974,                0.48561,                 1.6514,               0.006733,               0.006733,               0.006733
                     35,                 0.7562,                0.63652,                 1.0696,                0.94438,                0.97949,                0.97087,                0.65038,                 1.1935,                0.46116,                  1.646,               0.006634,               0.006634,               0.006634
                     36,                0.74427,                0.62449,                  1.061,                0.94843,                0.97641,                0.96885,                0.64457,                 1.2074,                0.45911,                 1.6756,               0.006535,               0.006535,               0.006535
                     37,                0.73981,                 0.6321,                  1.063,                0.94532,                0.97761,                0.96979,                 0.6469,                 1.1915,                0.43985,                 1.6498,               0.006436,               0.006436,               0.006436
                     38,                0.73597,                0.62763,                 1.0525,                 0.9467,                0.97488,                0.96825,                0.64435,                 1.2027,                0.45701,                 1.6745,               0.006337,               0.006337,               0.006337
                     39,                0.73463,                0.62559,                 1.0626,                0.94427,                0.97623,                0.97001,                0.64954,                 1.1825,                 0.4676,                 1.6459,               0.006238,               0.006238,               0.006238
                     40,                0.72505,                0.61743,                  1.049,                0.94109,                0.97909,                0.96978,                  0.653,                 1.1964,                0.45983,                 1.6733,               0.006139,               0.006139,               0.006139
                     41,                0.71875,                0.60943,                 1.0482,                0.95217,                 0.9791,                0.97618,                0.65269,                 1.1907,                 0.4479,                 1.6653,                0.00604,                0.00604,                0.00604
                     42,                0.72071,                0.62719,                 1.0519,                0.95333,                0.97739,                0.97208,                0.64414,                 1.2054,                0.45289,                  1.697,               0.005941,               0.005941,               0.005941
                     43,                0.70761,                 0.5958,                 1.0414,                0.95475,                0.97715,                0.96539,                0.64486,                 1.1992,                0.44044,                 1.6619,               0.005842,               0.005842,               0.005842
                     44,                0.70798,                 0.6082,                  1.045,                0.94373,                0.97831,                0.97524,                0.65871,                 1.1841,                0.45142,                 1.6499,               0.005743,               0.005743,               0.005743
                     45,                0.70128,                0.60441,                 1.0373,                0.94585,                0.97959,                0.96946,                0.64576,                 1.1885,                0.44959,                 1.6772,               0.005644,               0.005644,               0.005644
                     46,                0.69506,                0.59699,                 1.0318,                0.95623,                0.98246,                0.97789,                0.64971,                 1.1982,                0.44715,                 1.6927,               0.005545,               0.005545,               0.005545
                     47,                0.68188,                0.58889,                 1.0246,                 0.9533,                0.97703,                0.97235,                0.65092,                 1.2034,                0.45486,                 1.7023,               0.005446,               0.005446,               0.005446
