                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4137,                 1.8145,                 1.5142,                0.54072,                  0.592,                 0.5896,                0.34337,                 1.4913,                 1.7691,                 1.9048,               0.070123,              0.0033196,              0.0033196
                      1,                 1.3113,                 1.3914,                 1.4737,                0.78486,                0.80383,                0.85892,                0.51184,                 1.3881,                 1.0155,                 1.7228,               0.040058,              0.0065871,              0.0065871
                      2,                 1.2336,                 1.1986,                 1.4039,                0.83896,                0.91546,                0.94364,                0.59289,                  1.286,                0.74987,                 1.6057,              0.0099257,              0.0097886,              0.0097886
                      3,                  1.163,                 1.0891,                 1.3471,                0.88813,                0.90546,                0.93105,                0.58428,                 1.2885,                0.71432,                 1.5842,               0.009703,               0.009703,               0.009703
                      4,                 1.1266,                0.98755,                 1.3108,                0.89654,                0.90848,                 0.9355,                0.59913,                 1.2741,                0.65021,                 1.6059,               0.009703,               0.009703,               0.009703
                      5,                 1.0903,                0.95824,                 1.2866,                0.89986,                0.92498,                0.94033,                0.58935,                 1.3079,                 0.6635,                 1.5979,               0.009604,               0.009604,               0.009604
                      6,                 1.0645,                0.91352,                 1.2695,                0.87867,                0.92413,                0.94524,                0.60816,                 1.2374,                 0.6015,                  1.573,               0.009505,               0.009505,               0.009505
                      7,                 1.0446,                0.88319,                 1.2565,                0.89356,                  0.944,                  0.943,                0.59911,                 1.2996,                0.56396,                 1.6075,               0.009406,               0.009406,               0.009406
                      8,                 1.0339,                0.88439,                 1.2531,                0.91179,                0.93567,                0.94569,                0.60923,                 1.2591,                0.55204,                 1.5828,               0.009307,               0.009307,               0.009307
                      9,                 1.0175,                0.84923,                  1.241,                0.92235,                0.96392,                0.95305,                0.61675,                 1.2517,                0.61206,                 1.5861,               0.009208,               0.009208,               0.009208
                     10,                0.99337,                0.82947,                 1.2201,                0.91017,                0.94133,                0.94776,                0.61011,                 1.2542,                0.53631,                  1.594,               0.009109,               0.009109,               0.009109
                     11,                0.97657,                0.80018,                 1.2087,                0.93532,                 0.9529,                0.96698,                0.63486,                 1.2226,                0.50415,                 1.5671,                0.00901,                0.00901,                0.00901
