               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03053,            0.039596,            0.010992,             0.75119,             0.56386,             0.63344,             0.40986,            0.029073,            0.025807,            0.017739,            0.002872,            0.002872,            0.002872
                  38,            0.030298,            0.038986,            0.010701,             0.77614,             0.53442,             0.63114,             0.40741,             0.02849,            0.025687,            0.016896,            0.002674,            0.002674,            0.002674
                  39,             0.03011,            0.039362,            0.010387,             0.74963,             0.56418,             0.63592,             0.41351,            0.028738,            0.025508,            0.017541,            0.002476,            0.002476,            0.002476
                  40,            0.029591,            0.038586,             0.00988,              0.7736,             0.55826,             0.65292,             0.43046,            0.028645,            0.025512,            0.016698,            0.002278,            0.002278,            0.002278
                  41,            0.029569,            0.038636,            0.010005,             0.76854,              0.5644,             0.65157,             0.42532,            0.028674,            0.025555,            0.016346,             0.00208,             0.00208,             0.00208
                  42,            0.029071,            0.037858,            0.009615,             0.75633,             0.56492,             0.64934,             0.42467,            0.028372,            0.025445,            0.016878,            0.001882,            0.001882,            0.001882
                  43,             0.02861,            0.037965,           0.0092364,             0.75054,             0.58279,             0.64092,             0.42132,            0.028629,            0.025611,            0.016642,            0.001684,            0.001684,            0.001684
                  44,            0.028463,            0.038703,           0.0095133,             0.78249,             0.57561,             0.65358,             0.43103,            0.028386,            0.025408,            0.015992,            0.001486,            0.001486,            0.001486
                  45,            0.027849,             0.03665,           0.0089538,             0.74488,             0.58244,             0.64826,             0.42974,            0.028466,             0.02544,            0.016078,            0.001288,            0.001288,            0.001288
                  46,            0.027709,             0.03803,           0.0088922,             0.75642,             0.57898,             0.66498,             0.44064,            0.028131,            0.025357,            0.016144,             0.00109,             0.00109,             0.00109
                  47,            0.027207,            0.036716,           0.0086032,             0.77101,              0.5656,             0.65985,             0.43785,            0.028214,            0.025506,            0.016453,            0.000892,            0.000892,            0.000892
                  48,             0.02702,            0.037543,           0.0084049,             0.75577,             0.57023,              0.6591,              0.4369,             0.02812,            0.025446,            0.016032,            0.000694,            0.000694,            0.000694
                  49,            0.026984,            0.036756,           0.0082175,             0.75857,             0.57331,             0.66402,             0.44325,            0.028093,            0.025377,             0.01623,            0.000496,            0.000496,            0.000496
